emissor;setor_lei;revisar;n_aliases;n_ativos;ja_existe_no_banco
Minerva;Agronegócio;NAO;3;15;
FS;Agronegócio;NAO;5;10;
Saneamento (SPEs);Saneamento;NAO;6;9;
BTG Commodities;Agronegócio;NAO;5;8;
CSN;Indústria;NAO;2;8;
Brava Energia;Petróleo & Gás;NAO;2;7;
Vamos;Infraestrutura & Transporte;NAO;3;7;
BTG Pactual;Financeiro;NAO;3;5;
Dasa;Saúde;NAO;1;5;
Marfrig;Agronegócio;NAO;3;5;
BRF;Agronegócio;NAO;1;4;
Camil;Agronegócio;NAO;2;4;
Caramuru;Agronegócio;NAO;3;4;
JBS;Agronegócio;NAO;4;4;
Localiza;Infraestrutura & Transporte;NAO;2;4;
Movida;Infraestrutura & Transporte;NAO;2;4;
Petrobras;Petróleo & Gás;NAO;2;4;
Rede D'Or;Saúde;NAO;4;4;
Allos;Imobiliário;NAO;2;3;
MRV;Imobiliário;NAO;3;3;
Oncoclínicas;Saúde;NAO;2;3;
Rede Sim;Outros;SIM;1;3;
Seara;Agronegócio;NAO;1;3;
Simpar;Infraestrutura & Transporte;NAO;1;3;
ACP Bioenergia;Agronegócio;NAO;1;2;
Adecoagro;Agronegócio;NAO;1;2;
Casas Bahia;Varejo & Consumo;NAO;1;2;
Concessionárias de rodovia;Infraestrutura & Transporte;NAO;2;2;
Dufrio;Varejo & Consumo;NAO;1;2;
Eneva;Energia Elétrica;NAO;1;2;
GPA;Varejo & Consumo;NAO;2;2;
Hortus;Varejo & Consumo;NAO;1;2;
Incorporadoras (diversas);Imobiliário;NAO;2;2;
Ipiranga;Petróleo & Gás;NAO;2;2;
Irani;Papel & Celulose;NAO;1;2;
JF Citrus;Agronegócio;NAO;1;2;
JSL;Infraestrutura & Transporte;NAO;1;2;
Jalles Machado;Agronegócio;NAO;1;2;
Lar Cooperativa;Agronegócio;NAO;1;2;
Madero;Varejo & Consumo;NAO;1;2;
Olfar;Agronegócio;NAO;1;2;
Origem Energia;Petróleo & Gás;NAO;1;2;
Rio Amambai;Agronegócio;NAO;2;2;
Rtdr;Outros;SIM;1;2;
Solar (geração distribuída);Energia Elétrica;NAO;2;2;
Taesa;Energia Elétrica;NAO;1;2;
Termelétricas (SPE);Energia Elétrica;NAO;2;2;
Terracap;Imobiliário;NAO;1;2;
Transmissoras (SPE);Energia Elétrica;NAO;2;2;
Unidas;Infraestrutura & Transporte;NAO;1;2;
Vero;Telecomunicações;NAO;1;2;
Yduqs;Educação;NAO;1;2;
Ânima;Educação;NAO;1;2;
3tentos;Agronegócio;NAO;1;1;
Aché;Saúde;NAO;1;1;
Agrion;Agronegócio;NAO;1;1;
Alares;Telecomunicações;NAO;1;1;
Alumbra;Outros;SIM;1;1;
Arteris;Infraestrutura & Transporte;NAO;1;1;
Artesanal Securitizadora De Creditos S/A;Outros;SIM;1;1;
Assaí;Varejo & Consumo;NAO;1;1;
BR Properties;Imobiliário;NAO;1;1;
BV;Financeiro;NAO;1;1;
Banco ABC;Financeiro;NAO;1;1;
Banco Pan;Financeiro;NAO;1;1;
Basesul;Outros;SIM;1;1;
Birigui;Outros;SIM;1;1;
Boa Safra;Agronegócio;NAO;1;1;
Brasil Tecnologia;Tecnologia;NAO;1;1;
Brookfield;Outros;SIM;1;1;
Btg Prime Log;Outros;SIM;1;1;
CESP;Energia Elétrica;NAO;1;1;
Cabo Verde;Outros;SIM;1;1;
Canopus;Outros;SIM;1;1;
Caprem;Outros;SIM;1;1;
Cereal;Outros;SIM;1;1;
Ceres;Outros;SIM;1;1;
Coop. General Osório;Agronegócio;NAO;1;1;
Cury;Imobiliário;NAO;1;1;
Day Medical;Outros;SIM;1;1;
Diamond Hill;Outros;SIM;1;1;
Due Iii;Outros;SIM;1;1;
Eben;Outros;SIM;1;1;
Ectp;Outros;SIM;1;1;
Ectp Ii;Outros;SIM;1;1;
Edson Ignacio;Outros;SIM;1;1;
Eldorado;Papel & Celulose;NAO;1;1;
Elektro;Energia Elétrica;NAO;1;1;
Eletrobras;Energia Elétrica;NAO;1;1;
Energética Sinop;Energia Elétrica;NAO;1;1;
Equatorial Transmissão;Energia Elétrica;NAO;1;1;
Estapar;Infraestrutura & Transporte;NAO;1;1;
Eucatex;Indústria;NAO;1;1;
Even;Imobiliário;NAO;1;1;
Fazenda Lageado;Outros;SIM;1;1;
Gja Ii;Outros;SIM;1;1;
Globo;Telecomunicações;NAO;1;1;
Grupo Masutti;Outros;SIM;1;1;
Grupo Mateus;Varejo & Consumo;NAO;1;1;
Hapvida;Saúde;NAO;1;1;
Holding Do Araguaia S.A.;Outros;SIM;1;1;
Hospital Albert Einstein;Saúde;NAO;1;1;
Kora Saúde;Saúde;NAO;1;1;
Ligga;Telecomunicações;NAO;1;1;
Longitude;Outros;SIM;1;1;
M. Dias Branco;Agronegócio;NAO;1;1;
Magazine Luiza;Varejo & Consumo;NAO;1;1;
Mitre;Imobiliário;NAO;1;1;
Moura Dubeux;Imobiliário;NAO;1;1;
Neoenergia;Energia Elétrica;NAO;1;1;
New Inc;Outros;SIM;1;1;
Nissei;Varejo & Consumo;NAO;1;1;
Norsa;Varejo & Consumo;NAO;1;1;
Norte Energia;Energia Elétrica;NAO;1;1;
PRIO;Petróleo & Gás;NAO;1;1;
Pantanal;Outros;SIM;1;1;
Patense;Agronegócio;NAO;1;1;
Poti Junior;Outros;SIM;1;1;
Projeto Cat;Outros;SIM;1;1;
Pulverizado;Outros;SIM;1;1;
SLC Agrícola;Agronegócio;NAO;1;1;
Stellantis;Indústria;NAO;1;1;
Summer Park;Outros;SIM;1;1;
São Martinho;Agronegócio;NAO;1;1;
Tenda;Imobiliário;NAO;1;1;
Terra Mundi;Outros;SIM;1;1;
Times Square;Outros;SIM;1;1;
Tmi;Outros;SIM;1;1;
Triple Play;Telecomunicações;NAO;1;1;
Ujay Trevo Boa Vista;Outros;SIM;1;1;
Urba;Imobiliário;NAO;1;1;
V.tal;Telecomunicações;NAO;1;1;
Vale;Indústria;NAO;1;1;
Vale do Tijuco;Agronegócio;NAO;1;1;
Verticale;Outros;SIM;1;1;
Verticale Iii;Outros;SIM;1;1;
Vicunha;Indústria;NAO;1;1;
Weclix;Telecomunicações;NAO;1;1;
Zamp;Varejo & Consumo;NAO;1;1;
Zarin;Outros;SIM;1;1;
